RUN,"Número de estudiante","sigla curso","Periodo curso",Calificación,Nota
13436089,2689,HF0157,2005-01,SU,4
13436089,2689,HF0159,2005-01,SU,4
13436089,2689,HF0162,2005-01,I,3
13436089,2689,HF0167,2005-01,SU,4
13436089,2689,HF0184,2005-01,EX,
13436089,2689,HF0186,2005-01,EX,
13436089,2689,HF0152,2005-02,SU,4
13436089,2689,HF0168,2006-02,SO,6
13436089,2689,HF0185,2006-02,B,5
13436089,2689,HF013453,2023-01,x,
13436089,2689,HF013458,2023-01,x,
13436089,2689,HF013464,2023-01,x,
13436089,2689,HF013476,2023-01,x,
13436089,2689,HF014440,2023-01,x,
13436089,2689,HF013456,2023-02,x,
13436089,2689,HF013457,2023-02,x,
13436089,2689,HF013463,2023-02,MB,6
13436089,2689,HF013467,2023-02,x,
13436089,2689,HF013470,2023-02,x,
13436089,2689,HF013450,2024-01,x,
13436089,2689,HF013451,2024-01,x,
13436089,2689,HF013461,2024-01,x,
13436089,2689,HF014444,2024-01,x,
13436089,2689,HF011704,2006-02,SO,7
13436089,2689,HF0162,2005-01,SU,4
13436089,2689,HF0176,2005-01,SU,4
14861328,3353,DV023491,2022-02,SU,4
14861328,3353,DV024460,2023-02,SU,4
14861328,3353,DV0227570,2023-02,SO,7
14861328,3353,DV023485,2022-02,SU,4
14861328,3353,DV023486,2022-02,MB,6
14861328,3353,DV023490,2022-02,SU,4
14861328,3353,DV023491,2022-02,I,3
14861328,3353,DV024148,2024-01,SO,7
14861328,3353,DV023489,2023-01,B,5
14861328,3353,DV024093,2023-01,SU,4
14861328,3353,DV024090,2023-01,MB,6
14861328,3353,DV024442,2023-01,SO,6
14861328,3353,DV023492,2023-02,B,5
14861328,3353,DV023493,2023-02,MB,6
14861328,3353,DV023494,2023-02,B,5
14861328,3353,DV025151,2023-02,SU,4
14861328,3353,DV023495,2024-01,x,
14861328,3353,DV023509,2024-01,x,
14861328,3353,DV023873,2024-01,x,
14861328,3353,DV023946,2024-01,x,
14861328,3353,DV024137,2024-01,x,
14861328,3353,DV024148,2024-01,x,
14861328,3353,DV025152,2024-01,x,
14861328,3353,DV0227544,2024-01,x,
19845469,1400,HF023450,2008-01,B,5
19845469,1400,HF023451,2008-01,SU,4
19845469,1400,HF023453,2008-01,SU,4
19845469,1400,HF023502,2008-01,B,5
19845469,1400,HF023456,2008-02,SU,4
19845469,1400,HF023457,2008-02,I,3
19845469,1400,HF023458,2008-02,SU,4
19845469,1400,HF023459,2008-02,I,3
19845469,1400,HF024444,2008-02,SU,4
19845469,1400,HF023459,2009-01,I,3
19845469,1400,HF023459,2009-01,SU,4
19845469,1400,HF023461,2009-01,SU,4
19845469,1400,HF023462,2009-01,SU,4
19845469,1400,HF023463,2009-01,I,3
19845469,1400,HF023463,2009-01,MM,1
19845469,1400,HF023464,2009-01,I,3
19845469,1400,HF023463,2009-02,I,3
19845469,1400,HF023468,2009-02,I,3
19845469,1400,HF023470,2009-02,I,3
19845469,1400,HF023507,2009-02,M,2
19845469,1400,HF024002,2009-02,MM,1
19845469,1400,HF023469,2010-01,B,5
19845469,1400,HF023473,2010-01,B,5
19845469,1400,HF023473,2010-01,I,3
19845469,1400,HF023476,2010-01,SU,4
19845469,1400,HF024000,2010-01,B,5
19845469,1400,HF023475,2010-02,SU,4
19845469,1400,HF023479,2010-02,SU,4
19845469,1400,HF023482,2010-02,B,5
19845469,1400,HF024093,2010-02,MB,6
19845469,1400,HF023481,2011-01,SU,4
19845469,1400,HF023485,2011-01,B,5
19845469,1400,HF023486,2011-01,SU,4
19845469,1400,HF023487,2011-01,SU,4
19845469,1400,HF023488,2011-01,SU,4
19845469,1400,HF023977,2011-01,B,5
19845469,1400,HF023489,2011-02,SU,4
19845469,1400,HF023490,2011-02,SU,4
19845469,1400,HF023490,2011-02,I,3
19845469,1400,HF023491,2011-02,SU,4
19845469,1400,HF024139,2011-02,B,5
19845469,1400,HF024441,2011-02,SU,4
19845469,1400,HF024442,2011-02,SU,4
19845469,1400,HF023492,2012-01,SU,4
19845469,1400,HF023493,2012-01,SU,4
19845469,1400,HF023494,2012-01,SU,4
19845469,1400,HF024137,2012-01,SU,4
19845469,1400,HF024866,2012-01,B,5
19845469,1400,HF023495,2012-02,B,5
19845469,1400,HF023506,2012-02,B,5
19845469,1400,HF023509,2012-02,B,5
19845469,1400,HF023889,2012-02,B,5
19845469,1400,HF024463,2012-02,SU,4
14128357,1653,DV023509,2011-02,B,5
19845469,1400,HF023457,2008-02,SU,4
19845469,1400,HF023468,2009-02,SU,4
19845469,1400,HF023474,2010-01,B,5
19845469,1400,HF023480,2010-02,B,5
19845469,1400,HF023467,2009-02,B,5
19845469,1400,HF023464,2009-01,SU,4
19845469,1400,HF023470,2009-02,SU,4
19845469,1400,HF021635,2024-01,MB,6
19845469,1400,HF023463,2009-02,SU,4
14128357,1653,DV023894,2011-01,MB,6
19845469,1400,HF024135,2012-01,MB,6
14128357,1653,DV023871,2011-01,MB,6
14128357,1653,DV023494,2011-02,B,5
19845469,1400,HF023507,2010-01,B,5
14128357,1653,DV023480,2010-02,B,5
14128357,1653,DV023488,2010-02,SU,4
14128357,1653,DV023490,2010-02,SU,4
14128357,1653,DV024139,2010-02,SU,4
14128357,1653,DV024868,2010-02,SU,4
14128357,1653,DV023486,2011-01,NP,
14128357,1653,DV023486,2011-01,B,5
14128357,1653,DV023491,2011-01,B,5
14128357,1653,DV023492,2011-01,SU,4
14128357,1653,DV023493,2011-01,B,5
14128357,1653,DV023495,2011-02,I,3
14128357,1653,DV023495,2011-02,SU,4
14128357,1653,DV024135,2011-02,B,5
14128357,1653,DV024442,2011-02,I,3
14128357,1653,DV024442,2011-02,SU,4
14128357,1653,DV021635,2018-02,I,3
19845469,1400,HF024091,2010-02,MB,6
19845469,1400,HF023503,2008-01,B,5
14128357,1653,DV023463,2024-01,x,
19845469,1400,HF023455,2008-01,SU,4
12830325,1233,DV023493,2021-02,SO,7
12830325,1233,DV023509,2022-01,SO,7
12830325,1233,DV023457,2010-01,SU,4
12830325,1233,DV023462,2010-02,SU,4
12830325,1233,DV023480,2014-02,SU,4
12830325,1233,DV023486,2015-01,SU,4
12830325,1233,DV023467,2012-01,SU,4
12830325,1233,DV023491,2021-02,MB,6
12830325,1233,DV023481,2021-02,MB,6
12830325,1233,DV023464,2011-01,SU,4
12830325,1233,DV023476,2014-01,SU,4
12830325,1233,DV023456,2011-01,SU,4
12830325,1233,DV023475,2011-02,SU,4
12830325,1233,DV023487,2012-02,SU,4
12830325,1233,DV023451,2010-01,SU,4
12830325,1233,DV0227549,2022-01,B,5
12830325,1233,DV0227544,2021-02,SO,7
12830325,1233,DV024444,2022-01,B,5
12830325,1233,DV023461,2011-02,B,5
12830325,1233,DV023494,2022-02,MB,6
12830325,1233,DV023495,2022-02,MB,6
