RUN,DV,Nombres,"Apellido Paterno","Apellido Materno","Nombre completo",Teléfono,"mail personal","mail institucional"
13436089,9,"JADE MURIEL",BARRA,ALVAREZ,"JADE MURIEL BARRA ALVAREZ",,JADE.BARRA@llimail.kom,JADE.BARRA@lamejor.cl
14861328,5,"ORIANA MAGNO",BARRERA,TIZNADO,"ORIANA MAGNO BARRERA TIZNADO",,ORIANA.BARRERA@llimail.kom,ORIANA.BARRERA@lamejor.cl
19845469,9,"JOSEPHA SARA",PASTRIÁN,CÁDIZ,"JOSEPHA SARA PASTRIÁN CÁDIZ",,JOSEPHA.PASTRIÁN@llimail.kom,JOSEPHA.PASTRIÁN@lamejor.cl
14128357,7,"FARID LUCAS",DÍAZ,FAJARDO,"FARID LUCAS DÍAZ FAJARDO",,FARID.DÍAZ@llimail.kom,FARID.DÍAZ@lamejor.cl
12830325,3,"TAMARA MICHEL",ZAMBRANO,ZAPAG,"TAMARA MICHEL ZAMBRANO ZAPAG",,TAMARA.ZAMBRANO@llimail.kom,TAMARA.ZAMBRANO@lamejor.cl
19983261,K,"YANARA GIULIANA",THENOUX,KAPPES,"YANARA GIULIANA THENOUX KAPPES",,YANARA.THENOUX@llimail.kom,YANARA.THENOUX@lamejor.cl
18203700,1,"ESTELITA MARTINA",GARCÍA,BECERRA,"ESTELITA MARTINA GARCÍA BECERRA",,ESTELITA.GARCÍA@llimail.kom,ESTELITA.GARCÍA@lamejor.cl
18456009,8,"ELIAN OSVALDO",MENDOZA,VARGAS,"ELIAN OSVALDO MENDOZA VARGAS",,ELIAN.MENDOZA@llimail.kom,ELIAN.MENDOZA@lamejor.cl
17147602,3,"ISADORA MILLARAY",DONAIRE,BOERSCHEL,"ISADORA MILLARAY DONAIRE BOERSCHEL",,ISADORA.DONAIRE@llimail.kom,ISADORA.DONAIRE@lamejor.cl
15245824,1,"DEMIAN THOMAS",FARÍAS,ÓRDENES,"DEMIAN THOMAS FARÍAS ÓRDENES",,DEMIAN.FARÍAS@llimail.kom,DEMIAN.FARÍAS@lamejor.cl
14321184,2,"EUDARDO VERÓNICA",HERRERA,RIFFO,"EUDARDO VERÓNICA HERRERA RIFFO",,EUDARDO.HERRERA@llimail.kom,EUDARDO.HERRERA@lamejor.cl
13808189,5,"ERNESTO MARIANGEL",ARNES,ZAPATA,"ERNESTO MARIANGEL ARNES ZAPATA",,ERNESTO.ARNES@llimail.kom,ERNESTO.ARNES@lamejor.cl
16224003,0,"YEZNEE HOMERO",PORTALIER,URZÚA,"YEZNEE HOMERO PORTALIER URZÚA",,YEZNEE.PORTALIER@llimail.kom,YEZNEE.PORTALIER@lamejor.cl
18679410,6,"JOSUE ANAHIS",MONARES,LAHSEN,"JOSUE ANAHIS MONARES LAHSEN",,JOSUE.MONARES@llimail.kom,JOSUE.MONARES@lamejor.cl
14444032,0,"KRISHNA DAREM",BOYD,PÉREZ,"KRISHNA DAREM BOYD PÉREZ",,KRISHNA.BOYD@llimail.kom,KRISHNA.BOYD@lamejor.cl
19577619,3,"RAFAEL SOPHIA",IBACACHE,COLLÍO,"RAFAEL SOPHIA IBACACHE COLLÍO",,RAFAEL.IBACACHE@llimail.kom,RAFAEL.IBACACHE@lamejor.cl
20326490,8,"NATHALIE ANTONELLA",VALENCIA,BUCHHOLZ,"NATHALIE ANTONELLA VALENCIA BUCHHOLZ",,NATHALIE.VALENCIA@llimail.kom,NATHALIE.VALENCIA@lamejor.cl
19337126,1,"SUIYI ANDRÉS",CÁCERES,OLMOS,"SUIYI ANDRÉS CÁCERES OLMOS",,SUIYI.CÁCERES@llimail.kom,SUIYI.CÁCERES@lamejor.cl
18145719,7,"LIZA DENIS",MENDEZ,FLOR,"LIZA DENIS MENDEZ FLOR",,LIZA.MENDEZ@llimail.kom,LIZA.MENDEZ@lamejor.cl
16803563,6,"NATALIE TERESITA",CHÁVEZ,BOERSCHEL,"NATALIE TERESITA CHÁVEZ BOERSCHEL",,NATALIE.CHÁVEZ@llimail.kom,NATALIE.CHÁVEZ@lamejor.cl
13111224,4,"MARCELA ALONSO",CARRASQUERO,SOMMERMEYER,"MARCELA ALONSO CARRASQUERO SOMMERMEYER",,MARCELA.CARRASQUERO@llimail.kom,MARCELA.CARRASQUERO@lamejor.cl
16963407,K,"TATIANA OLGA",PUGA,SCHMITH,"TATIANA OLGA PUGA SCHMITH",,TATIANA.PUGA@llimail.kom,TATIANA.PUGA@lamejor.cl
12786083,2,"PILAR OSCAR",AMÉSTICA,CERRUTTI,"PILAR OSCAR AMÉSTICA CERRUTTI",,PILAR.AMÉSTICA@llimail.kom,PILAR.AMÉSTICA@lamejor.cl
21152210,9,"ARTURO DARY",NAVEA,GUZMÁN,"ARTURO DARY NAVEA GUZMÁN",,ARTURO.NAVEA@llimail.kom,ARTURO.NAVEA@lamejor.cl
15880499,1,"NESTOR YISMARA",BERRÍOS,INAPAIMILLA,"NESTOR YISMARA BERRÍOS INAPAIMILLA",,NESTOR.BERRÍOS@llimail.kom,NESTOR.BERRÍOS@lamejor.cl
12503947,6,"STEFANNY NAWEL",NOTTE,PICON,"STEFANNY NAWEL NOTTE PICON",,STEFANNY.NOTTE@llimail.kom,STEFANNY.NOTTE@lamejor.cl
16922962,8,"OSVALDO YACIARA",MONTOYA,FIGUEROA,"OSVALDO YACIARA MONTOYA FIGUEROA",,OSVALDO.MONTOYA@llimail.kom,OSVALDO.MONTOYA@lamejor.cl
14301476,9,"ROSA BARBARA",ZEPEDA,AHUMADA,"ROSA BARBARA ZEPEDA AHUMADA",,ROSA.ZEPEDA@llimail.kom,ROSA.ZEPEDA@lamejor.cl
16577278,K,"JAVIERA ARIEL",HUERTA,LLANOS,"JAVIERA ARIEL HUERTA LLANOS",,JAVIERA.HUERTA@llimail.kom,JAVIERA.HUERTA@lamejor.cl
21518779,6,"ZAIDA EDUARDA",YORI,SASSO,"ZAIDA EDUARDA YORI SASSO",,ZAIDA.YORI@llimail.kom,ZAIDA.YORI@lamejor.cl
