RUN,DV,cargo
11506703,0,
18797417,0,
14064068,4,
17709390,4,
10930280,5,
15602671,1,vespertino
7523733,6,vespertino
21531369,0,vespertino
7601139,7,
6459456,4,
21005559,3,
16110386,1,
10000620,9,
19306120,K,
19395783,0,vespertino
5358837,3,
19887007,3,
14760463,9,
14076589,9,vespertino
5209083,0,vespertino
13282129,K,
21937717,0,vespertino
16183736,9,vespertino
5777395,5,vespertino
17571237,7,
18157686,8,
12130822,6,
8524557,5,
14620557,1,
6969423,8,
7739323,9,vespertino
19636327,2,
9652450,0,
11181112,1,vespertino
5885015,8,
4883169,8,vespertino
18025510,6,
7072240,3,vespertino
4327537,4,
19894159,2,
19519424,7,
3880934,0,
9323699,5,vespertino
22101209,8,vespertino
10932457,4,vespertino
8176564,4,vespertino
4982749,1,
21817540,K,
10796028,0,
9142516,0,
17529494,7,
20329037,1,vespertino
12881069,7,
19357400,0,vespertino
17266312,3,
10800937,9,
6178078,3,vespertino
7977957,4,vespertino
11216997,8,vespertino
6524012,8,
5087164,8,vespertino
13309953,K,
6033084,3,
20207255,8,
5120878,10,
8403073,7,
5721194,7,
8465509,5,
10098320,K,
21291470,4,vespertino
21624235,0,
15831810,3,
15953361,8,
19819656,7,
9903217,3,
14172004,15,
7798148,16,
19175346,K,
7767670,K,
13295414,9,
16089042,3,
21806216,4,
6961556,4,
5768767,7,
4050173,1,
9899914,1,
8709765,4,
15525747,8,
5098286,K,
5428536,6,vespertino
11345480,5,
13563385,1,
16938644,2,
18868982,3,vespertino
21284477,9,
21570957,4,
17824167,5,
14515176,4,vespertino
10496689,2,
16611891,7,vespertino
6888020,7,
11678529,0,vespertino
9260788,8,
15066943,2,
16159977,1,
6369943,3,vespertino
18975538,7,
17499580,1,
5074897,7,
7392992,7,vespertino
21122698,8,vespertino
11503727,4,
18888259,6,
17426870,1,
11975989,3,
16295219,9,vespertino
18011748,8,vespertino
17495734,2,vespertino
10797309,5,
11985627,0,vespertino
18463474,0,
10223426,6,vespertino
7866803,1,
21058829,4,
17894730,8,
16559195,8,vespertino
7068430,5,
21437179,0,vespertino
4225328,19,
21167932,0,
10954998,7,
7055711,6,
12473544,8,
5279196,9,
8112732,k,vespertino
8816386,2,
4086011,0,
18750355,21,
17072598,4,vespertino
8039135,3,
20526336,5,
20803733,3,vespertino
9017176,1,
6014931,8,
6195466,9,vespertino
10322950,22,
8794104,2,
19792684,k,
8800536,K,
15314589,4,
3824847,1,vespertino
13631470,2,
6129243,0,vespertino
9071125,3,vespertino
3971624,K,vespertino
8220024,6,vespertino
12881699,K,vespertino
9619937,9,vespertino
16535162,0,
5783960,2,
20034372,8,vespertino
13045184,2,vespertino
8495260,1,
6196352,K,vespertino
21387934,3,vespertino
16576301,5,vespertino
6441184,23,
10837577,9,
18717911,K,
12138847,1,vespertino
17242480,8,
12709375,8,
18632941,0,
21043338,24,
9796644,6,vespertino
15076521,1,
11049110,3,
12647518,7,vespertino
9461004,9,vespertino
14712196,6,
20095661,1,
